All likes,Films,TV Programmes,Music,Books,Sports Teams,Sportspeople,Favourites,Check-ins,Sports,Music,Films,Tv programmes,Books,Apps - games,Events,Gender
144,2,1,5,1,1,0,3,3,6,2,1,3,2,0,4,0
0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0
0,0,0,0,0,0,0,3,2,6,2,4,2,1,0,5,0
705,0,6,30,2,3,0,3,0,0,2,0,3,0,0,0,0
0,0,0,0,0,0,0,3,3,6,4,1,1,0,0,3,0
434,8,15,112,6,1,1,3,3,6,2,1,1,1,0,0,0
997,6,11,56,2,1,1,3,2,7,7,2,3,2,1,3,0
681,47,38,112,12,4,13,1,2,0,0,5,2,0,2,0,0
2840,59,55,163,30,5,2,3,2,0,2,1,1,0,0,3,0
0,0,1,3,1,0,0,3,3,6,2,1,1,2,2,5,0
24,1,2,0,0,0,0,3,3,0,2,6,5,1,0,0,0
339,5,8,9,2,2,1,3,3,6,7,4,3,7,0,4,0
613,13,11,37,13,2,1,3,2,0,2,2,3,1,0,0,0
2006,16,26,79,15,2,6,3,0,0,7,1,1,0,0,4,0
293,0,4,1,0,0,0,3,2,7,4,2,3,2,1,3,0
84,6,2,20,0,0,0,3,3,6,4,4,1,7,0,3,0
712,3,5,30,2,0,0,3,2,8,2,4,4,1,0,0,0
533,5,4,33,11,0,0,3,5,0,2,0,4,1,0,0,0
313,0,2,9,2,1,0,3,3,0,5,4,3,1,5,0,0
154,4,2,8,0,0,0,2,3,0,5,5,3,1,1,4,0
399,0,0,18,0,0,4,3,2,0,2,1,1,3,2,5,0
391,5,3,11,3,3,1,4,2,0,2,1,1,1,1,4,0
150,1,3,41,3,3,9,3,2,0,2,2,1,1,0,4,0
1178,53,49,218,18,3,10,3,0,0,4,1,1,1,5,3,0
282,0,4,32,0,0,0,3,3,8,2,3,1,2,0,3,0
154,0,2,22,0,0,0,3,0,0,2,4,1,2,0,3,0
1357,95,60,35,12,3,6,3,3,0,5,3,3,1,5,0,0
20,0,0,3,0,0,0,3,3,0,2,4,4,1,0,0,0
934,37,34,70,10,2,1,3,3,0,4,6,4,7,4,0,0
202,15,6,11,5,0,0,2,2,0,4,1,3,1,0,4,0
5443,56,54,303,41,7,8,4,2,6,2,6,6,5,1,6,0
269,5,7,34,2,2,5,6,4,9,7,0,4,0,2,3,1
25,1,1,1,0,0,0,3,2,6,3,3,2,0,3,3,1
695,1,11,68,0,6,5,2,4,6,5,8,3,7,2,6,1
264,10,7,23,0,16,16,6,2,6,3,6,6,0,5,3,1
402,7,33,21,1,0,2,0,1,6,7,6,6,6,0,4,1
503,2,28,39,0,45,21,6,3,6,3,0,0,7,3,4,1
960,16,20,57,0,32,41,3,5,6,7,7,6,4,4,4,1
787,10,19,270,0,8,9,6,3,9,2,6,4,1,5,3,1
226,0,1,46,1,14,13,2,3,6,7,6,6,7,2,5,1
853,11,14,33,0,36,76,2,5,6,9,5,5,0,1,3,1
645,22,44,29,0,24,75,5,3,6,9,0,5,0,5,0,1
684,8,1,23,0,21,10,3,3,4,2,6,1,7,0,0,1
183,72,5,87,0,0,0,2,5,9,5,6,4,5,2,4,1
277,42,43,106,0,10,9,6,5,9,7,0,0,5,5,4,1
621,6,13,41,1,2,2,5,2,6,2,4,6,3,4,5,1
548,9,7,26,0,2,5,5,3,6,2,8,0,6,4,3,1
151,0,14,8,0,2,4,5,3,9,2,5,1,0,0,3,1
385,3,5,21,0,14,1,8,5,0,8,8,6,6,0,6,1
1244,12,15,135,0,4,0,6,3,6,9,6,6,7,3,4,1
303,32,3,17,0,4,2,4,3,8,5,6,5,7,1,4,1
840,3,28,42,13,26,0,5,4,6,6,8,5,0,5,6,1
1821,19,25,66,0,43,73,6,3,8,3,6,1,5,0,5,1
940,25,22,122,0,65,53,8,3,5,3,7,1,0,0,4,1
326,1,2,13,0,3,0,5,3,6,3,6,5,6,5,4,1
1314,88,51,187,0,46,0,4,4,0,6,7,5,7,0,3,1
489,30,23,44,0,4,2,5,4,6,2,6,3,6,0,3,1
248,0,1,9,0,23,9,5,3,6,6,6,6,5,0,4,1
616,8,22,39,0,17,24,6,4,4,5,2,5,7,4,0,1
248,5,3,13,0,3,8,5,4,6,9,6,6,4,0,3,1
62,17,117,0,7,4,0,2,3,6,3,6,3,6,3,0,1
257,0,6,8,0,17,28,7,3,6,6,3,3,6,1,0,1
354,2,17,27,0,7,18,8,4,9,5,0,7,6,5,3,1
456,99,12,105,3,3,4,3,4,8,6,7,2,7,3,3,1
486,17,20,18,0,10,22,4,2,0,6,0,4,7,1,3,1
771,10,19,51,0,6,4,2,4,6,2,8,1,6,0,5,1
5074,357,123,1395,0,83,345,4,2,5,2,7,3,6,0,3,1
